USER_ID_DERIVED,SESSION_KEY,EFFECTIVE_PAGE_TIME_DEVIATION_REASON
0050b000004KC6TAAW,DhqBsp+aUVLiN3Kb,InteractionBeforePageLoaded|click
0050b000004KC50AAG,g9aE9t45ABa0tGdj,PreviousPageNotLoaded
0052R00000ASR9WQAX,l6kLMHerRR0Xm4hs,PreviousPageNotLoaded
0050b000005JfY2AAK,70M0/o3hg68yZsM3,PageNotLoaded
0052R000009TqFMQA0,vqF9K3VJpnoJRPj6,InteractionBeforePageLoaded|click
0050b000004KSV9AAO,F4apvHPTstOOcppa,PreviousPageNotLoaded
0050b000004KSV9AAO,F4apvHPTstOOcppa,PageNotLoaded
0056P000000DgnZQAS,AmMyOX8cegkPiIy9,PageNotLoaded
0056P000000DgCdQAK,8qkxAyBtp2MBiWJm,PreviousPageNotLoaded
0052R00000ASQPjQAP,2nddor+XibgO6Lmf,InteractionBeforePageLoaded|click
0052R000009zrGGQAY,ffcCSnRulQUm9tQL,PageHasError
0050b000004KR49AAG,E0bLDsvdP949fYoD,PreviousPageNotLoaded
0052R000009j0NyQAI,s5sE/a4+03M+606N,InteractionBeforePageLoaded|click
0052R000009TlHiQAK,jyijv09BufyBBD/0,PreviousPageNotLoaded
0050b000004KCAPAA4,apQxPSYXzJotcORj,PageNotLoaded
0056P000000xVHgQAM,QoT7T6G9WbqJ1DbK,PreviousPageNotLoaded
0056P000000xWm9QAE,uDcnw/bfGY/TqsOn,PageNotLoaded
0050b000004K6wlAAC,jKGZdDlR2Coj94SG,PreviousPageNotLoaded
0051P000003jYWEQA2,h8u6/yj1B1EQRIJV,PreviousPageNotLoaded
0052R000009jX4MQAU,y7yzlCW7ApijdJI9,PageNotLoaded
0052R000009jX4MQAU,y7yzlCW7ApijdJI9,PageNotLoaded
0050b000005nqQSAAY,bdqHPwvjVH6ZAwUZ,PreviousPageNotLoaded
0050b000004K3wRAAS,WqrdB6jM3TiMP/os,PageNotLoaded
0050b000004K3wRAAS,WqrdB6jM3TiMP/os,PageNotLoaded
0052R00000ASR9WQAX,l6kLMHerRR0Xm4hs,PageNotLoaded
0052R000008E6qHQAS,qKR3hTCFWVhyJGCW,PageInBackgroundBeforeLoaded
0056P000000xUzDQAU,wcVzmgFHkBMY0QSl,PageNotLoaded
0050b000004KCcSAAW,pdZcnU/QRfdvaSHy,PageInBackgroundBeforeLoaded
0050b000004KNrQAAW,BFfhJ0uOvcQMw/Vd,PageNotLoaded
0056P000000xWnUQAU,w70ycNQB+CJCHZNS,PreviousPageNotLoaded
0052R00000ASPhKQAX,cAqSNQ5vEr4JLxsQ,PreviousPageNotLoaded
0052R000009nJBDQA2,ZmZQTuxR/Ezt4NgU,PreviousPageNotLoaded
0052R000009To4TQAS,6rHdHULo49TQ+Rx9,PageInBackgroundBeforeLoaded
0051P000003jYziQAE,n8ePAZQSP/xFlwH7,PreviousPageNotLoaded
0050b000004K3aAAAS,icYhebeGWwTJ8iKa,PreviousPageNotLoaded
0050b000005JhQlAAK,wqaGN7hBvuOLVROt,PreviousPageNotLoaded
0050b000004K6qxAAC,9x1LO9LR3UahvUlA,PageNotLoaded
0050b000004K6qxAAC,9x1LO9LR3UahvUlA,PreviousPageNotLoaded
0052R000009Tlj1QAC,DMOEvhVmrS0YyjSB,InteractionBeforePageLoaded|click
0051P000003jYJWQA2,Uy+8yaSWDWeVNxHQ,InteractionBeforePageLoaded|click
0050b000004K3wRAAS,WqrdB6jM3TiMP/os,PreviousPageNotLoaded
0050b000004K40bAAC,7cudqxe5InfgPS2r,InteractionBeforePageLoaded|click
0056P0000011gXCQAY,3w2A8JXGqNV2UmLn,PreviousPageNotLoaded
0050b000004K3gzAAC,zErD3pbcG8UW7Ttx,PageInBackgroundBeforeLoaded
0050b000004KVjiAAG,Mos6+Li8X0CsBjIy,InteractionBeforePageLoaded|click
0052R00000ASQa9QAH,aZ3ywqS079K557GD,PreviousPageNotLoaded
